[9,800] MAE: 32,071,302,217.847061, RMSE: 516,439,384,911.484924, R2: -1,588,530,885,850,839,328,337,873,076,224. – 0:00:04.452817 – 25.74 KB
[9,900] MAE: 31,759,680,558.627457, RMSE: 513,824,512,494.046265, R2: -1,581,524,789,053,861,079,700,392,116,224. – 0:00:04.497674 – 25.74 KB
[10,000] MAE: 31,451,593,050.467865, RMSE: 511,248,949,719.196655, R2: -1,573,379,602,365,387,173,786,575,437,824. – 0:00:04.542490 – 25.74 KB
[10,100] MAE: 31,767,090,466.098602, RMSE: 510,278,159,089.549316, R2: -1,566,741,707,486,024,098,083,038,560,256. – 0:00:04.587417 – 25.74 KB
[10,200] MAE: 32,848,894,868.251312, RMSE: 522,018,443,651.665833, R2: -1,643,910,004,103,007,119,376,012,804,096. – 0:00:04.632269 – 25.74 KB
[10,300] MAE: 32,684,144,075.694824, RMSE: 519,483,173,154.97406, R2: -1,631,986,272,454,931,695,231,368,691,712. – 0:00:04.677196 – 25.74 KB
[10,400] MAE: 32,408,835,357.022572, RMSE: 516,979,910,859.301941, R2: -1,620,803,939,820,465,019,717,377,064,960. – 0:00:04.722157 – 25.74 KB
[10,500] MAE: 32,125,683,126.476715, RMSE: 514,512,331,769.149414, R2: -1,604,344,189,272,340,225,296,703,684,608. – 0:00:04.767040 – 25.74 KB
[10,600] MAE: 31,841,244,386.684311, RMSE: 512,079,718,813.016052, R2: -1,594,696,444,708,374,839,648,657,080,320. – 0:00:04.811946 – 25.74 KB
[10,700] MAE: 33,094,078,015.131119, RMSE: 521,309,700,291.932556, R2: -1,658,653,026,719,289,904,631,795,154,944. – 0:00:04.856806 – 25.74 KB
[10,800] MAE: 32,958,305,440.87331, RMSE: 518,897,117,110.927673, R2: -1,647,942,193,384,402,181,669,829,738,496. – 0:00:04.901526 – 25.74 KB
[10,900] MAE: 32,700,830,767.089325, RMSE: 516,511,898,487.081421, R2: -1,641,026,982,850,070,355,467,263,016,960. – 0:00:04.946208 – 25.74 KB
[11,000] MAE: 32,426,466,636.921307, RMSE: 514,158,881,208.467651, R2: -1,632,453,017,198,224,900,859,413,659,648. – 0:00:04.991037 – 25.74 KB
[11,100] MAE: 32,143,017,100.974033, RMSE: 511,837,626,159.266357, R2: -1,623,484,286,055,707,954,582,361,473,024. – 0:00:05.035810 – 25.74 KB
[11,200] MAE: 32,659,273,963.625988, RMSE: 511,416,103,137.130981, R2: -1,623,714,901,123,996,999,074,145,370,112. – 0:00:05.080531 – 25.74 KB
[11,300] MAE: 32,554,024,070.516438, RMSE: 509,156,235,788.030212, R2: -1,610,930,907,895,388,892,384,039,272,448. – 0:00:05.125266 – 25.74 KB
[11,400] MAE: 33,041,067,173.993683, RMSE: 509,326,467,659.83136, R2: -1,608,573,479,004,466,915,872,897,761,280. – 0:00:05.170020 – 25.74 KB
[11,500] MAE: 32,981,503,436.497368, RMSE: 507,120,541,785.968811, R2: -1,596,677,018,548,213,432,124,318,941,184. – 0:00:05.214843 – 25.74 KB
[11,600] MAE: 32,735,413,559.668953, RMSE: 504,930,246,816.470398, R2: -1,591,601,858,459,093,148,777,907,748,864. – 0:00:05.259556 – 25.74 KB
[11,700] MAE: 33,730,051,582.596153, RMSE: 503,329,522,662.889648, R2: -1,557,792,219,534,156,020,022,492,790,784. – 0:00:05.304424 – 25.74 KB
[11,800] MAE: 34,203,849,688.689682, RMSE: 501,556,360,868.201965, R2: -1,534,937,055,174,720,010,417,415,913,472. – 0:00:05.349206 – 25.74 KB
[11,900] MAE: 34,099,512,246.16737, RMSE: 499,452,195,428.340332, R2: -1,519,304,382,483,428,609,652,214,988,800. – 0:00:05.394024 – 25.74 KB
[12,000] MAE: 33,907,165,578.225723, RMSE: 497,368,350,484.490601, R2: -1,510,197,783,066,711,088,656,522,674,176. – 0:00:05.438792 – 25.74 KB
[12,100] MAE: 36,933,051,874.531548, RMSE: 545,701,644,316.330139, R2: -1,818,281,951,015,143,868,957,127,081,984. – 0:00:05.483573 – 25.74 KB
[12,200] MAE: 38,193,951,333.436798, RMSE: 544,458,321,896.775757, R2: -1,815,780,141,255,066,631,750,062,964,736. – 0:00:05.528420 – 25.74 KB
[12,300] MAE: 38,243,759,457.712532, RMSE: 542,267,150,962.974609, R2: -1,808,088,404,663,884,527,006,749,032,448. – 0:00:05.573099 – 25.74 KB
[12,400] MAE: 38,080,640,143.848663, RMSE: 540,080,924,601.909302, R2: -1,800,333,464,943,892,500,239,471,345,664. – 0:00:05.617861 – 25.74 KB
[12,500] MAE: 43,659,032,530.603348, RMSE: 779,454,232,537.859863, R2: -3,731,023,477,185,111,971,487,637,569,536. – 0:00:05.662660 – 25.74 KB
[12,600] MAE: 44,369,862,353.480164, RMSE: 776,595,688,575.474854, R2: -3,654,063,630,400,488,093,580,569,608,192. – 0:00:05.707405 – 25.74 KB
[12,700] MAE: 44,530,805,212.952934, RMSE: 773,587,473,610.150269, R2: -3,611,822,106,420,767,141,579,653,644,288. – 0:00:05.752213 – 25.74 KB
[12,800] MAE: 44,306,743,079.794617, RMSE: 770,562,178,723.842407, R2: -3,591,960,106,542,719,989,073,162,797,056. – 0:00:05.797265 – 25.74 KB
[12,900] MAE: 44,095,588,661.239265, RMSE: 767,572,743,598.754517, R2: -3,537,797,195,290,127,756,053,450,850,304. – 0:00:05.842440 – 25.74 KB
[13,000] MAE: 43,832,950,281.812714, RMSE: 764,615,756,128.154053, R2: -3,489,798,285,329,282,094,015,755,321,344. – 0:00:05.887270 – 25.74 KB
[13,100] MAE: 44,716,418,770.208847, RMSE: 771,665,382,708.673706, R2: -3,554,846,845,185,839,880,877,627,146,240. – 0:00:05.932522 – 25.74 KB
[13,200] MAE: 44,444,225,462.130798, RMSE: 768,737,749,828.143799, R2: -3,529,016,307,956,142,354,168,616,583,168. – 0:00:05.977334 – 25.74 KB
[13,300] MAE: 44,138,268,873.130943, RMSE: 765,842,425,953.692139, R2: -3,502,967,498,080,026,606,153,202,925,568. – 0:00:06.022140 – 25.74 KB
[13,400] MAE: 43,843,502,692.119331, RMSE: 762,979,645,963.968994, R2: -3,474,371,030,873,681,557,869,513,670,656. – 0:00:06.067130 – 25.74 KB
[13,500] MAE: 43,542,938,601.617676, RMSE: 760,148,628,970.830444, R2: -3,449,456,267,402,296,710,546,480,693,248. – 0:00:06.112006 – 25.74 KB
[13,600] MAE: 43,241,424,269.46833, RMSE: 757,348,870,987.847412, R2: -3,434,961,290,539,871,728,616,754,642,944. – 0:00:06.156859 – 25.74 KB
[13,700] MAE: 42,946,417,423.32412, RMSE: 754,579,829,939.014648, R2: -3,418,324,384,133,620,056,297,161,359,360. – 0:00:06.199964 – 25.74 KB
