,n_samples,MAE,RMSE,R2,time_learning,time_predicting,memory,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
12313,12313999,22.36358575723085,38.66932457351045,0.029460872525596704,1006.4145679473877,770.6094036102295,102.05972290039062,27766,2358,25408,1251,24157,9,12314000.0
12314,12314999,22.363288417083936,38.668362659942986,0.02945463999563014,1006.4683358669281,770.6667053699493,102.0663948059082,27766,2358,25408,1251,24157,9,12315000.0
12315,12315999,22.363104671228665,38.667446665485365,0.029449025551084862,1006.5214862823486,770.7236485481262,102.07147598266602,27766,2358,25408,1251,24157,9,12316000.0
12316,12316999,22.36293373942937,38.66654977238365,0.029442240402226205,1006.5746743679047,770.7802557945251,102.08329391479492,27766,2358,25408,1251,24157,9,12317000.0
12317,12317999,22.36278245991241,38.665853641110225,0.02943443798079537,1006.6296627521515,770.8385601043701,102.09103775024414,27766,2358,25408,1251,24157,9,12318000.0
12318,12318999,22.36276645681723,38.66510306647937,0.02942133167719385,1006.6866700649261,770.898440361023,102.11090087890625,27766,2358,25408,1251,24157,9,12319000.0
12319,12319999,22.36292606032244,38.66440839724267,0.02940567724248333,1006.7470319271088,770.9572432041168,102.1209487915039,27766,2358,25408,1251,24157,9,12320000.0
12320,12320999,22.36302129380629,38.66367746171473,0.029393212526687917,1006.8018007278442,771.0160539150238,102.12860488891602,27766,2358,25408,1251,24157,9,12321000.0
12321,12321999,22.363153781120833,38.6629866049721,0.029376616725301896,1006.8612434864044,771.0750088691711,102.14446258544922,27766,2358,25408,1251,24157,9,12322000.0
12322,12322999,22.36319971166068,38.66220304372071,0.029362910421318333,1006.9179418087006,771.1348159313202,102.15786361694336,27766,2358,25408,1251,24157,9,12323000.0
12323,12323999,22.36271440025649,38.661106877926684,0.02936097299239082,1006.9803733825684,771.193323135376,102.20307159423828,27767,2358,25409,1252,24157,9,12324000.0
12324,12324999,22.361866391311338,38.66001421497679,0.029366612607842235,1007.0368986129761,771.252260684967,102.23602676391602,27767,2358,25409,1252,24157,9,12325000.0
12325,12325999,22.36116787884205,38.658914242377776,0.029370781111693445,1007.0911738872528,771.3108694553375,102.2474136352539,27767,2358,25409,1252,24157,9,12326000.0
12326,12326999,22.360552993595505,38.657866436939095,0.02937369797619538,1007.1453282833099,771.3695056438446,102.2763442993164,27768,2358,25410,1253,24157,9,12327000.0
12327,12327999,22.35989426560619,38.65672566281403,0.029376924222218714,1007.2008299827576,771.428450345993,102.30921173095703,27768,2358,25410,1253,24157,9,12328000.0
12328,12328999,22.35933370828979,38.65560213145614,0.029377638034041476,1007.2551038265228,771.486909866333,102.31731033325195,27768,2358,25410,1253,24157,9,12329000.0
12329,12329999,22.358790838213643,38.6545076008572,0.029378503498046493,1007.3110318183899,771.54625415802,102.33662033081055,27768,2358,25410,1253,24157,9,12330000.0
12330,12330999,22.358325422382357,38.653489817667925,0.029378153011681007,1007.3640398979187,771.6034796237946,102.34676361083984,27768,2358,25410,1253,24157,9,12331000.0
12331,12331999,22.35798917674451,38.652516244502095,0.029375649590358432,1007.4179847240448,771.6623103618622,102.35530471801758,27768,2358,25410,1253,24157,9,12332000.0
12332,12332999,22.357816076547525,38.65196632730513,0.02937173313633812,1007.4859216213226,771.7344689369202,102.36371231079102,27768,2358,25410,1253,24157,9,12333000.0
12333,12333999,22.357498520674042,38.65098141349039,0.029366648990423516,1007.540923833847,771.7938487529755,102.36823654174805,27768,2358,25410,1253,24157,9,12334000.0
12334,12334999,22.357364265220966,38.65018637049682,0.02935909266286041,1007.5945703983307,771.8524007797241,102.3716049194336,27768,2358,25410,1253,24157,9,12335000.0
12335,12335999,22.357199461340894,38.64932286186878,0.029351520480182858,1007.6496448516846,771.912341594696,102.37579727172852,27768,2358,25410,1253,24157,9,12336000.0
12336,12336999,22.357259482587462,38.64944142965532,0.029340199974357217,1007.7022480964661,771.9686436653137,102.38493347167969,27768,2358,25410,1253,24157,9,12337000.0
